Positive	Negative	Text
1	-1	#MilitaryMon
1	-1	#Mudbox
1	-1	#NBA
1	-1	#NMT
1	-1	#Neuroanthropology
1	-1	#News
1	-1	#Nintendo
1	-1	#NoUndiesSunday
1	-1	#Norway
1	-1	#ONTD
1	-1	#OS
1	-1	#PPtweetup
1	-1	#PRONES
1	-1	#PakCricket
1	-1	#PeopleBrowsr
1	-1	#PhilipGlass
1	-1	#Phish
1	-1	#Pre.
1	-1	#RE5
1	-1	#RWA09tat
1	-1	#Razor
1	-1	#Razorlight
1	-1	#River2River
1	-1	#Rpattz
1	-1	#RubyMine
1	-1	#SMCSTL
1	-1	#SNL...something
1	-1	#SPC09
1	-1	#SYTYCD
1	-1	#Sanctuary
1	-1	#SanctuarySunday
2	-1	#SaveEarl
2	-1	#SaveMeFromHell.
1	-1	#Sims3
1	-1	#SiriusXM
1	-1	#Squarespace
1	-1	#StarWars
1	-1	#StudioGhibli
1	-1	#SushiDay
1	-1	#Swim&amp;Run
1	-1	#TEFL
1	-1	#TGIF?
1	-1	#TOGether
1	-1	#TWRF
1	-1	#TWTRCon
1	-1	#TYLER
1	-1	#Tehran
1	-1	#TellMrTweet
1	-1	#ThirdRockFromTheSun
1	-1	#Throwdown
1	-1	#Tonys
1	-1	#Tori's
1	-1	#TrueBlood
1	-1	#TrueBlood....tonight
1	-1	#Twitprentice
1	-1	#UHA
1	-1	#USAWantsMcFly
1	-1	#WWDC
1	-1	#WeAreStupid
1	-1	#WebTech
1	-1	#WindowsMobile.
1	-1	#Woofwednesday
1	-1	#Wordpress
1	-1	#XM
1	-1	#YEG
1	-1	#YayForHavingAHunchAndCheckingAFacebookBuy/Sell/TradeGroupBeforeBuying
1	-1	#a4uawards
1	-1	#aces2009
1	-1	#adinarayanap
1	-1	#affcon?
1	-1	#akljulytweetup
1	-1	#alc8
1	-1	#alltimelowweek
1	-1	#android.
1	-1	#andyclemmensen
1	-1	#andyhurleyday
1	-1	#aneko
1	-3	#annoying
1	-1	#apprentice
1	-1	#arcticstartup
1	-1	#asot400
1	-1	#assnchat
1	-1	#asylm
1	-1	#austria
3	-1	#awesomecouch
1	-1	#bacon
1	-1	#badweather
1	-1	#bakesale
1	-1	#barcamphanoi
1	-1	#bart.
1	-1	#beer
1	-1	#bentobox
1	-1	#bgt
1	-1	#bicycle
1	-1	#bind9
1	-1	#bing
1	-1	#birthday
1	-1	#bizspark
1	-1	#blogchat
1	-1	#blw
1	-1	#bookieb
1	-1	#bradiewebb
1	-1	#bupa10k
1	-1	#cakephp
1	-1	#captions
1	-1	#carinthia.
1	-1	#cat
1	-1	#ceasar
1	-1	#charitytuesday
1	-1	#chdk.
1	-1	#chuckmemondays
1	-1	#clothdiapers
1	-1	#coda
1	-1	#coffeeclub
1	-1	#coffeetime
1	-1	#comingout
1	-1	#constipation
1	-1	#coriandrexpress
1	-3	#corruptedontwilight
1	-1	#css
1	-1	#d7ux
1	-1	#dailycharacter
1	-1	#datenight
1	-1	#dauphine
1	-1	#dcth
1	-1	#dell
1	-1	#delongeday
1	-1	#demiwithmcfly
1	-1	#demodag
1	-2	#difficultteens
1	-1	#dirtygun...aww
1	-1	#dnd
1	-1	#dollhouse
1	-1	#dontyouhate
1	-1	#doyourememberwhen
1	-1	#dreamapp
1	-1	#drupal.
1	-1	#duffphotoupload
1	-2	#dumball
1	-1	#dwsr
1	-1	#e-bikes
1	-1	#e3
1	-1	#e3bl
1	-1	#e3expo
1	-1	#eMetrics
1	-1	#ea
1	-1	#edumedia09
1	-1	#edupunk
1	-1	#effamigraine
2	-1	#elegantthemes
1	-1	#espresso
1	-1	#eu09
1	-1	#eunis09
1	-1	#eurovision
1	-1	#eventtrack
3	-1	#excited
1	-1	#eyecandy
1	-1	#f1
1	-3	#fail
1	-4	#fail!
2	-1	#faithnomorehour
1	-1	#fathersday
1	-1	#favcomicbookcahracter
1	-1	#favmoviequote
1	-1	#fb
1	-1	#fedora's
1	-1	#ff
1	-1	#ff.
1	-1	#film_club
1	-1	#firstrecord
1	-1	#fitfam
1	-1	#fixreplies
1	-1	#flyertalk
1	-1	#flylady
1	-1	#folfriday
1	-1	#follow
1	-1	#followers
1	-1	#followfriday
2	-1	#followfriday!
1	-1	#followfriday'd
1	-1	#followfriday.
1	-1	#followfriday.....
1	-1	#fowa
1	-1	#frenchopen
1	-1	#ftdo
1	-1	#gasol
1	-1	#geektastic
1	-1	#geneva
1	-1	#gimmefailwhale
1	-1	#glasto
1	-1	#gokeyisadouche
1	-1	#goodnight
1	-1	#goodservice
1	-1	#goodsex
1	-1	#goodtimes
1	-1	#google
1	-1	#gr88
1	-1	#gr8conf
1	-1	#grandcentral
3	-1	#greatsquid
1	-1	#greek.
1	-1	#guidinglight
1	-1	#h_e
1	-1	#handmade
1	-1	#haveyouever
1	-1	#hcsm
1	-1	#howtopleaseawoman
1	-1	#hurryupdell
1	-1	#iPhone
1	-1	#iTunes
1	-1	#ichc
1	-1	#iconfess
1	-1	#identité
1	-1	#ificouldmeetanyoneitwouldbe
1	-1	#ihate
1	-1	#ihateitwhen
1	-1	#iknowtweet
1	-1	#imightbethereincarnationofstalin
1	-1	#imtiredof
1	-1	#inaperfectworld
3	-1	#inspiration
1	-1	#interiordesign
1	-1	#iphone
1	-1	#iphoneupdate
1	-1	#iranelection
1	-1	#iranelection)
1	-1	#iremember
1	-1	#isoj
1	-1	#itsuck
1	-1	#jQuery
1	-1	#jaljeera
1	-1	#jaljeera?
1	-1	#javaone
1	-1	#jbyoutubesuspended
1	-1	#jessicaveronica
1	-1	#jobs
1	-1	#jonas-
1	-1	#jonasbrothersbackonyoutube
1	-1	#jonasinbrasil
1	-1	#jonaslive
1	-1	#jonasliveonfb
1	-1	#jonaswebcast
1	-1	#joomla
1	-1	#jplopen
1	-1	#jtv
1	-1	#kevinjonas
1	-1	#kies09
1	-1	#kimi.
1	-1	#lacoste
1	-1	#laker
1	-1	#lawnmothering
1	-1	#lions
1	-1	#livesvines&amp;tryingtimes
1	-1	#loadrunner
2	-1	#lol
1	-1	#lovesongsunday?
1	-1	#madventures
1	-1	#makerfaire
1	-1	#malware
1	-1	#mancold
1	-1	#marathonmonday
1	-1	#marsiscoming
1	-1	#masterchef
1	-1	#mightbuyit
1	-1	#mixero
1	-1	#mmwanted
1	-1	#mojito
1	-1	#momo
1	-1	#momoams
1	-1	#moustachefail
1	-1	#movie
1	-1	#mrbungle
1	-1	#mssucks
1	-1	#muffin
1	-1	#mullenunbound
1	-1	#multiplesclerosis
1	-1	#multscler
1	-1	#music
1	-1	#musicmonday
1	-1	#mw2
1	-1	#myspace
1	-1	#myweakness
1	-1	#n97sg
1	-1	#net12
1	-1	#nightshift
1	-1	#nin
1	-1	#nobitchassnessfriday
1	-1	#nomaintenance
1	-1	#nosy
1	-1	#notbb10
1	-1	#npseu09
1	-1	#nselection
1	-1	#ohatdl
1	-1	#ohyeswedid
1	-1	#ohyeswedid..what
1	-1	#oib
1	-1	#oldtimers
1	-1	#onroad
1	-1	#or09
1	-1	#origin
1	-1	#oscarmayer
1	-1	#ottawa
1	-1	#p2
1	-1	#palin
1	-1	#palmpre
1	-1	#peptrends
1	-1	#peterfacinelli
2	-1	#peterfacinelli!
1	-1	#pgcon
1	-1	#phish
1	-1	#photos
1	-1	#phpwomen
1	-1	#pingthesemanticweb
1	-1	#playstation
1	-1	#podcast
1	-2	#prisonbreak
1	-1	#ptsw
1	-1	#pughug
1	-1	#pussycatisland
1	-1	#qdoba
1	-1	#qshock
1	-1	#rebcphl
1	-1	#redwings
1	-1	#remember
1	-2	#retard
1	-1	#robot
1	-1	#roger's
1	-1	#rove
1	-1	#running
1	-1	#runningday
1	-4	#sad
2	-1	#savechuck
1	-1	#scunts
1	-1	#seb-day
1	-1	#semtech2009
1	-1	#sfn
1	-1	#sgtweetup
1	-1	#shaunjumpnow
1	-1	#shaunjumpnow#shaunjumpnow
1	-1	#shaunjumpnow#shaunjumpnow#shaunjumpnow#shaunjumpnow
1	-2	#shitstack
1	-1	#shoutout.
1	-1	#shuffle
1	-1	#shusiTU
1	-1	#simpleplan
1	-1	#skyfail
1	-1	#sm7
1	-1	#sociallifefailduetogradschool
1	-1	#solar
1	-1	#somethingsbroken
1	-1	#soo
1	-1	#sotr
1	-1	#spankyou
1	-1	#spsclt
1	-1	#spymaster
1	-1	#squarespace
1	-1	#squarespaceNEED
1	-1	#sss
2	-1	#stanleycup!
1	-1	#star
1	-1	#starspotterrhymes
1	-1	#stuckrecord
2	-1	#sunshine
1	-1	#survivor
1	-1	#susan
1	-1	#sytycd
1	-1	#tag'
1	-1	#tampa
1	-1	#tbc
1	-1	#teafu
1	-1	#techfail
1	-1	#ted
1	-1	#tedxkl
1	-1	#tek09
1	-1	#tennis
1	-1	#tf2
1	-1	#thankyousaturday.
1	-1	#thebigrace
1	-1	#theprofessionalidiot
1	-1	#theregister
1	-1	#threadless
1	-1	#tns09
1	-1	#today..
1	-1	#tokiohotel
1	-1	#trackle
1	-1	#trendingtopics
1	-1	#trim
1	-1	#ttl
1	-1	#turing
1	-2	#twat
1	-1	#tweetdeck
1	-1	#tweetie
1	-1	#tweetie:
1	-1	#tweetni
1	-1	#tweetshop
1	-1	#twitter
1	-1	#twitter365
1	-1	#twitterblock.
1	-1	#twitterfail
1	-1	#twitterfilms
1	-1	#twitterfon
1	-1	#twittermovies
1	-1	#twitterrific
2	-1	#twitterslut!!!
1	-1	#twolakutty
1	-1	#twtrcon
1	-1	#twttrlist
1	-1	#twtvite
1	-1	#ubuntu
1	-1	#ubuntu.
1	-1	#udc
1	-1	#umbraco
1	-1	#unfollowdiddy
1	-1	#up
1	-1	#urbrokeif
1	-1	#uxbcsyd
1	-1	#vaughn
1	-1	#vidzone
1	-1	#virginmedia
1	-1	#vis2020
1	-1	#warmfuzzies
1	-1	#wcm
1	-1	#weather
1	-1	#weather_me
1	-1	#web
1	-1	#webdesign
1	-1	#webdu
1	-1	#whatsmysection
1	-1	#wheniwaslittle
1	-1	#wheniwerealad
1	-1	#wiimoms
1	-1	#wimbledon.
1	-1	#wishfulthinking
1	-1	#working-week
3	-1	#wow
1	-1	#writechat
1	-1	#wwdc
1	-1	#xa
1	-1	#xbox
2	-1	#xboxe3!
1	-1	#youtube
1	-1	#zenjar
1	-1	#zombieninja
1	-1	$
2	-1	$!
1	-1	$$$
1	-1	$$.
1	-1	$$...
1	-1	$1
1	-1	$1.37?
1	-1	$10
1	-1	$100
1	-1	$100+
1	-1	$12
1	-1	$125.
1	-1	$130
2	-1	$140?!
1	-1	$15
1	-1	$150
1	-1	$17
1	-1	$17.10hr
1	-1	$18.50.
1	-1	$19.99
1	-1	$2
1	-1	$2.87
1	-1	$20
2	-1	$20?!
1	-1	$25
1	-1	$250
1	-1	$3
1	-1	$300
1	-1	$300.
1	-1	$35
1	-1	$350
1	-1	$39
1	-1	$4
1	-1	$4.50
1	-1	$40
1	-1	$400
1	-1	$42
1	-1	$4200
1	-1	$5
1	-1	$5.37's.
1	-1	$5.99
1	-1	$50
1	-1	$50.
1	-1	$500
1	-1	$56.
1	-1	$59.99
1	-1	$6
1	-1	$600
1	-1	$70
1	-1	$75
1	-1	$800
2	-1	$85!
1	-1	$88.5million
1	-1	$9
1	-1	$9.99
1	-1	$99
1	-1	$ANDS?
1	-1	$leep
1	-1	$oku..is
1	-1	$true
2	-1	%aGrrr...
1	-1	&amp;
1	-1	&amp;&amp;
1	-1	&amp;&amp;WHY
1	-1	&amp;'
2	-1	&amp;PASTE!!!
1	-1	&amp;eyes
1	-1	&amp;if
1	-1	&amp;im
1	-1	&amp;nd
1	-1	&amp;on
1	-1	&amp;preach
1	-1	&amp;protect
1	-1	&amp;the
1	-1	&amp;tke
1	-1	&amp;vinyl.
1	-1	&amp;yeah
1	-1	&gt;
1	-1	&gt;&gt;
1	-1	&gt;&gt;&gt;
1	-1	&gt;&gt;&gt;&gt;&gt;&gt;
1	-1	&gt;&gt;'
1	-1	&gt;&gt;Why
1	-1	&gt;&gt;if
1	-1	&gt;&lt;
1	-1	&gt;.&lt;
1	-1	&gt;140
1	-1	&gt;600m
1	-1	&gt;:
1	-1	&gt;:/
1	-1	&gt;:0
1	-1	&gt;:O
1	-1	&gt;:[
1	-1	&gt;:o
1	-1	&gt;:|
1	-1	&gt;I
1	-1	&gt;[_()\/3
1	-1	&gt;_&gt;
1	-1	&gt;_&lt;
1	-1	&gt;__&lt;
1	-3	&gt;dork&lt;
1	-1	&gt;sigh&lt;
1	-1	&lt;
1	-1	&lt;&gt;&lt;
1	-1	&lt;&lt;
1	-1	&lt;&lt;&lt;&lt;
1	-1	&lt;&lt;&lt;sigh&gt;&gt;&gt;
1	-1	&lt;&lt;3
1	-1	&lt;&lt;sudie&gt;&gt;
1	-1	&lt;&lt;that
1	-1	&lt;*single-icious&lt;3&gt;
1	-1	&lt;-
1	-1	&lt;--
1	-1	&lt;---
1	-1	&lt;----
1	-1	&lt;------
1	-1	&lt;-----is
1	-1	&lt;----watch
2	-1	&lt;---lol
1	-1	&lt;--I'm
2	-1	&lt;--yuck-a-ronamo!!!
1	-1	&lt;/3
1	-1	&lt;/invites
1	-1	&lt;1mile
1	-1	&lt;3
1	-1	&lt;3&lt;3&lt;3
1	-1	&lt;3.
1	-1	&lt;3...party?
1	-1	&lt;33
1	-1	&lt;333
2	-1	&lt;3333
2	-1	&lt;33333
2	-1	&lt;333333
2	-1	&lt;3333333
2	-1	&lt;33333333
1	-1	&lt;3;*
1	-1	&lt;5
1	-1	&lt;Tigersfan
1	-1	&lt;`3
1	-1	&lt;commence
1	-1	&lt;i&gt;Waiting
2	-2	&lt;miss
1	-1	&lt;scratches
1	-1	&lt;sigh&gt;
1	-1	&lt;sulk&gt;
1	-1	&lt;ty&gt;
1	-1	&lt;wht_rbt.obj&gt;
1	-1	&lt;~Ca$Uiio~&gt;
1	-1	&quot;
1	-1	&quot;#3stalkerwords&quot;
1	-1	&quot;#3wordsaftersex&quot;
1	-1	&quot;&quot;It
1	-1	&quot;&quot;Unchain
1	-1	&quot;&quot;can't
1	-1	&quot;'Cause
1	-1	&quot;(
1	-1	&quot;....
1	-1	&quot;.....and
1	-1	&quot;...I
1	-1	&quot;..aww
1	-1	&quot;/
1	-1	&quot;10&quot;N
1	-1	&quot;18
1	-1	&quot;2
1	-1	&quot;4&quot;
1	-1	&quot;50
1	-1	&quot;5x
1	-1	&quot;7
3	-1	&quot;911&quot;.Hope
1	-1	&quot;@
1	-1	&quot;@DDrDark
1	-1	&quot;@PeterCetera&quot;
1	-1	&quot;@mileycyrus&quot;you
1	-1	&quot;ATL&quot;
1	-1	&quot;AWW
1	-1	&quot;Adobe
1	-1	&quot;Ain't
1	-1	&quot;Allison
1	-1	&quot;Amarillo
1	-1	&quot;Angels
1	-1	&quot;Another
1	-1	&quot;Anybody
1	-1	&quot;Archaeological
1	-1	&quot;As
1	-1	&quot;Away
1	-1	&quot;BOYS
1	-1	&quot;BREAKFAST
1	-1	&quot;Bad
1	-1	&quot;Barbie
1	-1	&quot;Battlefield&quot;
1	-1	&quot;Be
1	-1	&quot;Beastly&quot;
1	-1	&quot;Best
1	-1	&quot;Betrayed&quot;
1	-1	&quot;Bless
1	-1	&quot;Bradley&quot;
1	-1	&quot;Breakfast
1	-1	&quot;Buddy
1	-1	&quot;Build
1	-1	&quot;Caponata&quot;
1	-1	&quot;Casino&quot;
1	-1	&quot;Chelsea
1	-1	&quot;Chemistry&quot;
1	-1	&quot;Chinatown&quot;.
1	-1	&quot;Clark
1	-1	&quot;Come
1	-1	&quot;Comics:
1	-1	&quot;Congrats&quot;.
1	-1	&quot;Cosatu
1	-1	&quot;Curling
1	-1	&quot;D&quot;
1	-1	&quot;Darn.&quot;
1	-1	&quot;Death
1	-1	&quot;Disturbia&quot;
1	-1	&quot;Do
1	-1	&quot;Don't
1	-1	&quot;Dont
1	-1	&quot;Downtime&quot;
1	-1	&quot;Drag
1	-1	&quot;Eat
1	-1	&quot;Electric
1	-1	&quot;Emotions
1	-1	&quot;England
1	-1	&quot;Equal
1	-1	&quot;Eurovision&quot;
1	-1	&quot;FIX&quot;.
1	-1	&quot;FREE
1	-1	&quot;Fade
1	-1	&quot;Favorite
1	-1	&quot;Fig
1	-1	&quot;Find
1	-1	&quot;Fistful
1	-1	&quot;Follow
1	-1	&quot;Following&quot;
1	-1	&quot;For
1	-1	&quot;Free&quot;.
1	-1	&quot;Friend&quot;
1	-1	&quot;GONNA
1	-1	&quot;GWEEDO33&quot;.We
1	-1	&quot;Gnik
1	-1	&quot;Go
1	-1	&quot;God&quot;
1	-1	&quot;Good
1	-1	&quot;Google
1	-1	&quot;Greatest
1	-1	&quot;Gun's
3	-1	&quot;HUGS&quot;
1	-1	&quot;Hahaha
1	-1	&quot;Handmade
1	-1	&quot;He
1	-1	&quot;He's
1	-1	&quot;Heart&quot;.
1	-1	&quot;Here
2	-1	&quot;Here!
2	-1	&quot;Hero&quot;!!!
1	-1	&quot;Hes
1	-1	&quot;Hey
1	-1	&quot;Hey&quot;
1	-1	&quot;Hi&quot;.....CU
1	-1	&quot;Highlight&quot;
1	-1	&quot;His
1	-1	&quot;House
1	-1	&quot;House&quot;
1	-1	&quot;How
1	-1	&quot;Hush
1	-1	&quot;Hyde&quot;
1	-1	&quot;I
1	-1	&quot;I&quot;
1	-1	&quot;I'll
1	-1	&quot;I'm
1	-1	&quot;I'ma
1	-1	&quot;If
1	-1	&quot;In
1	-1	&quot;Intimate
1	-1	&quot;Iran
1	-1	&quot;It's
1	-1	&quot;Jackass
1	-1	&quot;Jeckle&quot;
1	-1	&quot;Jonas
1	-1	&quot;Just...
1	-1	&quot;Kathy
1	-1	&quot;Kejsarn
1	-1	&quot;Kentucky
1	-1	&quot;Kind
1	-1	&quot;L&quot;
1	-1	&quot;Latitude
1	-1	&quot;Leave
1	-1	&quot;Lekarstwo
1	-1	&quot;Little
1	-1	&quot;Lollipop&quot;
1	-1	&quot;Love
1	-1	&quot;M&quot;
1	-1	&quot;Man
1	-1	&quot;Mantis&quot;
1	-1	&quot;Marco
1	-1	&quot;Marley
1	-1	&quot;Me
1	-1	&quot;Mentioned&quot;?
1	-1	&quot;Mexland&quot;
1	-1	&quot;Molerio
1	-1	&quot;Mom&quot;
1	-1	&quot;Monarchy&quot;
1	-1	&quot;My
1	-1	&quot;NLTverse&quot;
1	-1	&quot;Natures
1	-1	&quot;Ne
1	-1	&quot;New
1	-1	&quot;Nick
1	-1	&quot;Niggaz
1	-1	&quot;Now
2	-1	&quot;OHHHH
1	-1	&quot;Oh
1	-1	&quot;Oliver
1	-1	&quot;One
1	-1	&quot;Pan's
1	-1	&quot;Party&quot;
1	-1	&quot;Perfect
1	-1	&quot;Personal
1	-1	&quot;Poland?
1	-1	&quot;Pounding&quot;
1	-1	&quot;Pro&quot;-crastinators
1	-1	&quot;Problemas
1	-1	&quot;Professor
1	-1	&quot;Propellerheads
1	-1	&quot;RE-Tweets&quot;
1	-1	&quot;RF
1	-1	&quot;Rachamankha&quot;
1	-1	&quot;Reach
1	-1	&quot;Real&quot;
1	-1	&quot;Rendition&quot;.
1	-1	&quot;Right
1	-1	&quot;Ring
1	-1	&quot;Rob
2	-1	&quot;Robscars&quot;!
1	-1	&quot;Ronaldo&quot;
1	-1	&quot;Roommates&quot;.
1	-1	&quot;SFMTA
1	-1	&quot;SHE
1	-1	&quot;See
1	-1	&quot;Segregation
1	-1	&quot;Shake
1	-1	&quot;Shaking
1	-1	&quot;Simmah
1	-1	&quot;Sir
1	-1	&quot;Sleeping
1	-1	&quot;Snoore&quot;?
1	-1	&quot;So
1	-1	&quot;Something
1	-1	&quot;Soulove
1	-1	&quot;Spaghetti
1	-1	&quot;Stand
1	-1	&quot;Starlight&quot;
1	-1	&quot;State
1	-1	&quot;Stay
1	-1	&quot;Stupid&quot;
1	-1	&quot;Sweet
1	-1	&quot;Syouwa
1	-1	&quot;THE
1	-1	&quot;Table
1	-1	&quot;Taking
1	-1	&quot;Tastatur&quot;
1	-1	&quot;Tell
1	-1	&quot;Terminator
1	-1	&quot;Thank
1	-1	&quot;The
1	-1	&quot;Then
1	-1	&quot;There's
1	-1	&quot;Thinking
1	-1	&quot;This
1	-1	&quot;Thänk
1	-1	&quot;To&quot;
1	-1	&quot;Toast....&quot;
1	-1	&quot;Toda
1	-1	&quot;Today
1	-1	&quot;Together
1	-1	&quot;Top
1	-1	&quot;Tosca&quot;
1	-1	&quot;Touched
1	-1	&quot;True
1	-1	&quot;Twapple&quot;?
1	-1	&quot;Tweep&quot;
1	-1	&quot;Tweet
1	-1	&quot;Twit&quot;.
1	-1	&quot;Twitterific&quot;
1	-1	&quot;UP&quot;
1	-1	&quot;UP&quot;;
1	-1	&quot;Uncle
1	-1	&quot;Up&quot;
1	-1	&quot;Up&quot;.
1	-1	&quot;Urkel&quot;
1	-1	&quot;Vallarna&quot;
1	-1	&quot;Van
1	-1	&quot;Vision
1	-1	&quot;Wakamatsu&quot;
1	-1	&quot;Wanted&quot;.
1	-1	&quot;Warning
1	-1	&quot;When
1	-1	&quot;Work&quot;
1	-1	&quot;Worlds
1	-1	&quot;Wright&quot;
1	-1	&quot;Write
1	-1	&quot;YOUR
1	-1	&quot;Yaoi
1	-1	&quot;You
1	-1	&quot;You're&quot;=you
1	-1	&quot;You-Know-Who&quot;
1	-1	&quot;Yoville&quot;
1	-1	&quot;Zillow
1	-1	&quot;a
1	-2	&quot;accidentally&quot;
1	-1	&quot;aloha
1	-1	&quot;americone
1	-1	&quot;and
1	-1	&quot;announcers
1	-1	&quot;arcade
1	-1	&quot;are
1	-1	&quot;aspiring&quot;
1	-1	&quot;at
1	-1	&quot;aunt&quot;
1	-1	&quot;auntie
1	-1	&quot;balcony&quot;
1	-1	&quot;base64&quot;.
1	-1	&quot;behind&quot;
2	-1	&quot;best
1	-1	&quot;biggest
1	-1	&quot;birthday
1	-2	&quot;blah
1	-1	&quot;bonding
1	-1	&quot;boom
1	-1	&quot;booth&quot;
1	-1	&quot;boy&quot;
1	-1	&quot;brand
1	-1	&quot;brand&quot;
1	-2	&quot;broken
1	-1	&quot;bubu
1	-1	&quot;ca
1	-1	&quot;california&quot;
1	-1	&quot;calling
1	-1	&quot;childhood&quot;
1	-1	&quot;code&quot;
1	-1	&quot;concert
1	-1	&quot;corporate
1	-1	&quot;cousins
1	-1	&quot;cow
1	-2	&quot;crazy&quot;
1	-1	&quot;d:text&quot;?
1	-1	&quot;dearly
1	-1	&quot;delete
1	-1	&quot;der
1	-1	&quot;disappeared&quot;
1	-1	&quot;dissin&quot;
1	-1	&quot;do&quot;
1	-1	&quot;do-do's
1	-1	&quot;doing
1	-1	&quot;dookie&quot;
1	-1	&quot;down
1	-1	&quot;dragged&quot;
1	-1	&quot;drug&quot;
1	-1	&quot;early&quot;
1	-1	&quot;em&quot;
1	-1	&quot;errryone
1	-1	&quot;euroblivion&quot;
1	-1	&quot;every
1	-1	&quot;except
1	-1	&quot;experience&quot;
1	-1	&quot;eye
1	-3	&quot;fail
1	-3	&quot;failure&quot;
1	-1	&quot;fairlands&quot;
1	-1	&quot;family
1	-1	&quot;feel&quot;
1	-3	&quot;fierce&quot;
1	-1	&quot;final
1	-1	&quot;fiona
1	-1	&quot;firefox
1	-1	&quot;focusing&quot;
1	-1	&quot;follow
1	-1	&quot;footloose
1	-1	&quot;for&quot;
1	-2	&quot;force?&quot;
1	-1	&quot;free
2	-1	&quot;friendly
2	-1	&quot;friends&quot;
1	-3	&quot;fuck
2	-1	&quot;fun&quot;
1	-1	&quot;gas&quot;
1	-1	&quot;get
1	-1	&quot;gg
1	-1	&quot;girl
1	-1	&quot;girlie
1	-1	&quot;girls&quot;
1	-1	&quot;give
1	-1	&quot;go
1	-1	&quot;god&quot;
1	-1	&quot;golden
2	-1	&quot;good
2	-1	&quot;good&quot;
1	-1	&quot;graduation&quot;
1	-1	&quot;grided&quot;
1	-1	&quot;guys&quot;
2	-1	&quot;happy
1	-1	&quot;headphoners&quot;
1	-1	&quot;healthy
1	-1	&quot;hello
1	-1	&quot;henna&quot;
1	-1	&quot;here
1	-1	&quot;hi
1	-1	&quot;hi&quot;
1	-1	&quot;hi&quot;.
1	-1	&quot;higher&quot;
1	-1	&quot;how
1	-1	&quot;huli
1	-1	&quot;i
1	-2	&quot;ice-cold
1	-1	&quot;idk&quot;-me.
1	-2	&quot;ill&quot;
1	-1	&quot;in
1	-1	&quot;intergenerational
1	-1	&quot;internet
1	-1	&quot;it
1	-1	&quot;it's
1	-1	&quot;its
1	-1	&quot;jalice
1	-1	&quot;job&quot;
